id,name,specialization,location,rating,consultation_fee
1,Maryann Yusuf,Oncologist,Lagos,4.8,15000
2,Monday Morgan,Gynecologist,Abuja,4.7,25000
3,Jane Doe,Dentist,Lagos,4.5,20000
4,John Smith,Cardiologist,Abuja,4.6,30000
5,Uche Okafor,Pediatrician,Kano,4.7,18000
6,Tomiwa Adebayo,Dermatologist,Enugu,4.9,16000
7,Fola Ayodele,Neurologist,Port Harcourt,4.4,22000
8,Nkechi Nwosu,Orthopedic,Lagos,4.6,17000
9,Oluwaseun Adeyemi,Ophthalmologist,Abuja,4.5,24000
10,Abdulrahman Bello,Gastroenterologist,Kano,4.8,20000
11,Bisi Ogunleye,General Practitioner,Port Harcourt,4.3,15000
12,Ekene Chukwu,Pulmonologist,Enugu,4.6,25000
13,Emeka Uzoigwe,Urologist,Lagos,4.7,26000
14,Kemi Balogun,Endocrinologist,Kano,4.4,23000
15,Fatima Sani,Rheumatologist,Abuja,4.5,18000
16,Chinedu Obiora,Nephrologist,Enugu,4.7,27000
17,Taiwo Alabi,Oncologist,Port Harcourt,4.6,19000
18,Bamidele Eze,Cardiologist,Lagos,4.8,28000
19,Adedayo Akinyemi,Neurologist,Kano,4.5,21000
20,Mfon Etim,Dermatologist,Enugu,4.9,20000
